Lead Owner,Interest Level,Lead Location(Auto),Creation Source,Marketing Source,is_india_location,days_since_next_activity,next_activity_hour,Days_Since_Update,Update_Hour,Update_DayOfWeek,hour_of_day,day_of_week,is_student,creation_source_encoded
2,0,IN,0,22,0,5.0,0.0,1046,12,4,22,2,0,0
4,0,Unknown,0,22,0,3.0,0.0,1064,17,0,16,5,0,0
2,0,India,2,13,1,-1.0,-1.0,1279,12,2,10,2,0,2
1,1,Unknown,0,42,0,-1.0,-1.0,1185,9,5,8,5,0,0
4,0,India,1,42,1,-1.0,-1.0,1340,19,3,19,3,0,1
20,0,Unknown,0,42,0,-1.0,-1.0,888,9,1,0,5,0,0
10,1,Unknown,2,16,0,-1.0,-1.0,812,17,0,17,2,0,2
19,0,Unknown,0,0,0,311.0,0.0,911,14,6,19,2,0,0
18,0,Unknown,0,13,0,-1.0,-1.0,1153,11,2,1,2,0,0
2,1,US,0,22,0,3.0,0.0,813,5,6,21,3,0,0
2,0,EG,0,4,0,14.0,0.0,952,13,0,19,3,0,0
17,0,Unknown,0,0,0,-1.0,-1.0,992,10,2,9,0,0,0
4,0,Unknown,0,6,0,-1.0,-1.0,1223,13,2,9,2,1,0
18,0,Unknown,0,6,0,-1.0,-1.0,1195,19,1,1,1,0,0
4,1,Unknown,2,42,0,4.0,0.0,1313,18,3,23,0,0,2
13,1,Unknown,0,42,0,1.0,0.0,922,13,2,21,6,1,0
18,0,Unknown,0,42,0,-1.0,-1.0,839,2,1,8,5,0,0
5,1,Unknown,0,42,0,0.0,0.0,803,15,2,11,1,0,0
21,1,IN,0,22,0,-1.0,-1.0,972,9,1,19,5,0,0
4,0,Unknown,0,22,0,-1.0,-1.0,1043,10,0,11,5,0,0
14,0,IN,0,13,0,24.0,0.0,1011,17,4,14,0,0,0
15,0,Unknown,0,6,0,-1.0,-1.0,1043,14,0,11,4,0,0
19,1,Unknown,0,0,0,3.0,0.0,1219,14,6,23,4,0,0
20,0,India,0,42,1,-1.0,-1.0,889,18,0,20,5,1,0
1,1,Unknown,0,42,0,-1.0,-1.0,1138,16,3,16,3,0,0
17,0,Unknown,0,10,0,-1.0,0.0,1162,14,0,10,0,0,0
15,0,Unknown,0,7,0,-1.0,-1.0,1078,11,0,13,0,0,0
2,0,IN,0,19,0,27.0,0.0,993,15,1,9,3,0,0
17,0,Unknown,0,19,0,-1.0,-1.0,1164,13,5,19,4,1,0
6,0,Unknown,0,19,0,1.0,0.0,797,13,1,17,4,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1053,20,3,12,0,0,0
16,0,India,2,0,1,-1.0,-1.0,1348,19,2,19,2,0,2
2,0,IN,0,22,0,5.0,0.0,1080,14,5,20,2,0,0
19,0,Unknown,0,42,0,2.0,0.0,962,14,4,1,1,0,0
7,1,Unknown,0,42,0,53.0,0.0,812,17,0,17,0,0,0
4,0,Unknown,0,13,0,-1.0,-1.0,950,19,1,18,6,1,0
4,0,Unknown,0,10,0,-1.0,-1.0,1003,11,5,2,5,0,0
15,0,Unknown,0,22,0,-1.0,-1.0,1043,14,0,20,1,0,0
4,0,Unknown,0,0,0,-1.0,-1.0,1209,13,2,21,0,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,991,14,3,11,2,0,0
14,0,IN,0,22,0,3.0,0.0,1043,15,0,15,0,0,0
20,0,Unknown,0,42,0,-1.0,-1.0,1010,18,5,21,0,0,0
1,1,Unknown,0,42,0,-1.0,0.0,834,12,6,10,6,0,0
20,1,SA,0,42,0,-1.0,-1.0,834,13,6,22,0,1,0
4,0,Unknown,0,0,0,2.0,0.0,1280,14,1,9,1,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,1214,5,4,3,0,0,0
2,0,US,0,4,0,4.0,0.0,848,1,6,11,3,0,0
1,1,Unknown,2,42,0,-1.0,-1.0,1271,22,2,19,1,0,2
12,1,Unknown,0,42,0,0.0,0.0,1052,18,5,22,4,1,0
12,1,Unknown,0,42,0,-1.0,-1.0,1219,20,5,3,5,0,0
1,1,Unknown,0,6,0,-1.0,-1.0,1212,10,6,10,6,0,0
9,1,Unknown,0,6,0,5.0,0.0,877,18,4,15,4,0,0
2,1,IN,0,19,0,-1.0,-1.0,1136,12,5,16,3,1,0
17,1,Unknown,0,19,0,3.0,18.0,1011,10,4,16,2,0,0
21,0,IN,0,4,0,-1.0,-1.0,1079,16,6,19,4,0,0
4,0,Unknown,0,13,0,9.0,0.0,1212,19,5,21,4,0,0
19,1,Unknown,0,42,0,1.0,0.0,956,16,3,12,1,0,0
4,0,Unknown,0,19,0,-1.0,-1.0,1032,19,3,19,5,0,0
2,0,Unknown,0,10,0,-1.0,-1.0,1326,18,4,22,2,0,0
4,0,Unknown,0,10,0,9.0,0.0,1140,14,1,18,0,0,0
19,1,Unknown,0,0,0,-1.0,-1.0,1222,18,3,19,0,0,0
1,1,Unknown,0,42,0,-1.0,0.0,1030,2,6,7,4,0,0
2,1,IN,0,13,0,37.0,0.0,1142,10,6,8,6,0,0
18,1,Unknown,0,6,0,5.0,13.0,1198,15,6,20,4,0,0
5,0,india,0,42,1,2.0,0.0,965,14,1,15,4,1,0
17,0,Unknown,0,19,0,0.0,0.0,1158,20,3,9,2,0,0
4,0,Unknown,0,4,0,10.0,0.0,917,15,0,12,3,0,0
21,0,IN,0,22,0,-1.0,-1.0,1046,10,4,3,3,0,0
15,0,Unknown,0,0,0,-1.0,-1.0,1078,11,0,12,1,0,0
2,1,Unknown,0,0,0,-1.0,-1.0,1311,14,5,23,4,0,0
12,1,Unknown,0,42,0,-1.0,0.0,1101,21,4,2,3,0,0
1,1,Unknown,0,42,0,32.0,0.0,850,10,4,17,6,0,0
4,0,Unknown,0,13,0,21.0,0.0,1251,13,2,23,1,0,0
19,1,Unknown,0,42,0,0.0,0.0,890,10,6,13,5,0,0
21,1,IN,0,13,0,-1.0,-1.0,989,16,5,10,1,0,0
4,0,Unknown,0,22,0,-1.0,-1.0,1069,16,2,3,4,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,1133,15,1,15,1,0,0
19,1,Unknown,0,42,0,1.0,0.0,866,11,2,19,5,0,0
19,0,Unknown,0,0,0,-1.0,-1.0,1221,18,4,8,4,1,0
19,1,Unknown,0,42,0,0.0,0.0,910,18,6,0,5,0,0
4,0,Unknown,0,10,0,-1.0,-1.0,1334,12,3,7,3,0,0
4,0,Unknown,0,22,0,0.0,0.0,1154,13,1,13,1,0,0
4,0,Unknown,0,19,0,6.0,0.0,1075,11,3,11,4,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,824,1,2,14,1,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,1122,6,5,12,2,0,0
17,0,Unknown,0,6,0,1.0,0.0,1062,10,2,17,0,0,0
2,1,Unknown,0,0,0,-1.0,-1.0,1246,14,0,13,0,0,0
2,0,IN,0,13,0,4.0,0.0,1080,14,5,18,3,0,0
7,0,Unknown,0,19,0,358.0,0.0,812,17,0,14,2,0,0
2,1,IN,0,19,0,43.0,0.0,972,10,1,9,3,0,0
21,0,in,0,42,0,-1.0,-1.0,1081,11,4,12,1,0,0
19,1,Unknown,0,13,0,-1.0,-1.0,1217,17,1,0,1,0,0
17,0,Unknown,0,19,0,0.0,0.0,1047,12,3,16,2,0,0
4,0,Unknown,0,4,0,6.0,0.0,1131,16,3,8,3,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,846,18,1,16,1,0,0
4,1,Unknown,0,22,0,6.0,0.0,1190,14,0,20,2,0,0
4,1,Unknown,0,22,0,9.0,0.0,1008,10,0,23,4,0,0
20,0,Singapore,0,42,0,-1.0,-1.0,864,13,4,15,2,0,0
17,1,Unknown,0,13,0,2.0,0.0,1100,13,6,20,3,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1050,15,0,21,4,0,0
2,0,IN,0,22,0,32.0,0.0,812,10,0,22,5,0,0
21,0,IN,0,13,0,-1.0,0.0,1081,11,4,11,6,0,0
4,0,Unknown,0,22,0,-1.0,-1.0,1124,15,3,14,3,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,834,1,6,11,4,0,0
19,1,Unknown,0,42,0,-1.0,-1.0,990,16,4,1,3,0,0
20,0,Malaysia,0,42,0,-1.0,-1.0,823,10,3,17,6,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1199,16,5,22,4,0,0
1,0,Unknown,0,13,0,-1.0,-1.0,1134,14,0,1,5,0,0
1,0,Unknown,0,42,0,-1.0,-1.0,1275,2,6,3,5,0,0
19,1,Unknown,0,13,0,1.0,0.0,1098,10,1,16,5,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1171,2,5,19,3,0,0
19,0,Unknown,0,19,0,0.0,0.0,1145,12,3,13,2,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1094,18,5,6,5,0,0
18,0,Unknown,0,19,0,-1.0,-1.0,1253,13,0,10,5,1,0
18,0,Unknown,0,6,0,-1.0,-1.0,1059,15,5,23,1,0,0
17,1,Unknown,0,13,0,2.0,0.0,1094,9,5,20,1,0,0
19,0,Unknown,0,13,0,0.0,0.0,1162,11,0,16,6,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1042,18,1,23,1,0,0
5,0,india,0,42,1,1.0,9.0,965,14,1,16,0,0,0
1,1,Unknown,0,10,0,-1.0,-1.0,1213,17,5,16,5,0,0
4,0,Unknown,0,13,0,-1.0,-1.0,944,15,1,20,6,0,0
21,0,IN,0,19,0,0.0,0.0,1081,11,4,18,6,0,0
18,1,Unknown,0,6,0,3.0,21.0,1146,18,2,16,0,0,0
1,1,Unknown,2,42,0,-1.0,0.0,1097,12,2,12,2,0,2
16,0,Unknown,0,16,0,-1.0,-1.0,1289,14,6,11,6,0,0
2,1,IN,0,13,0,-1.0,-1.0,1017,10,5,21,4,0,0
19,0,Unknown,0,42,0,-1.0,-1.0,1104,13,2,12,0,1,0
13,1,Unknown,2,0,0,-1.0,-1.0,880,11,2,20,6,0,2
2,1,IN,0,13,0,3.0,0.0,1145,14,3,15,0,0,0
15,1,Unknown,0,22,0,-1.0,-1.0,1078,11,0,2,6,0,0
2,1,IN,0,10,0,-1.0,-1.0,1163,20,5,23,4,0,0
1,1,Unknown,0,42,0,-1.0,0.0,1121,19,5,6,5,1,0
18,0,Unknown,0,6,0,-1.0,-1.0,1042,0,1,15,6,0,0
3,0,IN,0,19,0,-1.0,-1.0,1173,18,3,12,3,0,0
20,0,IN,0,42,0,-1.0,-1.0,869,11,6,20,3,1,0
1,1,Unknown,2,42,0,-1.0,-1.0,1263,5,4,5,4,0,2
12,0,Unknown,0,42,0,-1.0,-1.0,1251,15,2,0,1,0,0
19,0,Unknown,0,42,0,3.0,0.0,1055,16,2,10,4,1,0
2,1,IN,0,22,0,55.0,0.0,1031,19,4,20,3,0,0
12,1,Unknown,2,42,0,-1.0,-1.0,1171,17,5,0,5,0,2
4,0,Unknown,0,10,0,-1.0,-1.0,1245,13,1,16,1,1,0
2,0,India,2,0,1,-1.0,-1.0,1302,13,0,13,3,0,2
18,0,IN,0,42,0,-1.0,-1.0,845,19,1,20,0,0,0
18,0,Unknown,0,13,0,-1.0,-1.0,1015,12,0,15,6,0,0
18,1,Unknown,0,6,0,-1.0,-1.0,955,15,4,17,2,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,821,17,5,14,2,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,1166,6,3,9,2,1,0
4,1,Unknown,2,0,0,2.0,15.0,1317,20,5,20,5,0,2
15,0,Unknown,0,13,0,-1.0,-1.0,1052,17,5,18,1,0,0
18,0,Unknown,2,0,0,-1.0,-1.0,1259,20,0,20,0,0,2
4,0,Unknown,0,22,0,36.0,0.0,927,19,3,20,1,0,0
14,0,Unknown,0,6,0,-1.0,-1.0,1043,14,0,2,1,0,0
4,1,Unknown,0,13,0,-1.0,-1.0,1006,17,2,10,1,0,0
2,1,India,2,5,1,-1.0,-1.0,1336,9,1,14,0,1,2
12,1,Unknown,0,42,0,0.0,0.0,1051,22,5,21,4,0,0
12,1,Unknown,0,42,0,-1.0,0.0,1019,19,2,3,2,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1035,16,1,23,6,0,0
15,0,Unknown,0,19,0,-1.0,-1.0,1047,17,3,15,2,0,0
18,0,Unknown,0,13,0,-1.0,-1.0,948,15,4,11,3,0,0
4,1,Unknown,0,22,0,2.0,12.0,1103,15,3,8,1,0,0
6,0,Unknown,0,19,0,0.0,0.0,797,16,1,11,4,0,0
17,0,Unknown,0,13,0,1.0,0.0,1072,12,6,20,2,0,0
5,0,Unknown,0,22,0,-1.0,0.0,870,9,5,10,3,0,0
19,0,Unknown,0,42,0,-1.0,-1.0,1145,12,3,20,1,1,0
16,0,Unknown,0,42,0,-1.0,-1.0,1310,14,6,8,6,0,0
19,0,Unknown,0,42,0,0.0,0.0,878,15,4,0,3,0,0
21,1,IN,0,13,0,-1.0,-1.0,868,11,0,19,5,0,0
20,1,Unknown,0,42,0,-1.0,-1.0,914,19,2,11,4,0,0
17,0,Unknown,0,10,0,3.0,0.0,1072,17,6,19,2,0,0
7,0,Unknown,0,42,0,379.0,0.0,812,17,0,0,6,0,0
4,0,Unknown,0,22,0,4.0,0.0,1052,18,4,16,0,0,0
17,0,Unknown,0,19,0,2.0,0.0,1155,19,6,18,3,0,0
5,0,india,0,42,1,0.0,0.0,953,12,6,14,5,0,0
4,0,Unknown,0,13,0,2.0,0.0,1118,17,2,23,1,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,803,1,2,23,6,0,0
20,0,Unknown,0,42,0,-1.0,-1.0,930,14,1,22,6,0,0
17,1,Unknown,0,0,0,5.0,0.0,1095,11,4,16,5,0,0
4,1,Unknown,0,13,0,10.0,0.0,1188,19,1,15,0,0,0
10,0,Unknown,0,19,0,-1.0,-1.0,812,17,0,23,2,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,866,5,2,12,0,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,834,1,6,8,6,0,0
5,1,IN,0,4,0,0.0,0.0,846,9,1,23,6,0,0
20,0,India,0,42,1,-1.0,-1.0,817,19,1,16,0,1,0
21,0,IN,0,22,0,-1.0,-1.0,797,16,1,22,0,0,0
2,1,IN,0,22,0,-1.0,-1.0,816,10,3,20,5,0,0
2,1,Unknown,0,19,0,7.0,14.0,1183,12,0,22,6,0,0
2,0,CA,0,22,0,5.0,0.0,829,3,4,8,1,0,0
18,0,IN,0,42,0,-1.0,-1.0,797,13,1,12,0,0,0
18,1,Unknown,0,13,0,2.0,16.0,1149,15,6,2,5,1,0
2,0,NG,0,0,0,-1.0,-1.0,1180,13,3,1,1,0,0
19,0,Unknown,0,0,0,-1.0,-1.0,1226,15,6,16,4,0,0
4,0,Unknown,0,19,0,4.0,0.0,1052,18,4,16,0,0,0
2,1,IN,0,19,0,2.0,11.0,1046,12,4,9,3,0,0
14,0,IN,0,4,0,172.0,0.0,990,14,4,9,5,0,0
2,0,IN,0,13,0,6.0,0.0,987,13,0,11,5,0,0
19,1,Unknown,0,42,0,0.0,0.0,1041,17,2,15,1,0,0
12,1,Unknown,0,42,0,-1.0,-1.0,1161,1,1,20,2,0,0
15,0,Unknown,0,22,0,-1.0,-1.0,1048,12,2,2,6,0,0
10,1,Unknown,0,19,0,4.0,0.0,812,17,0,12,5,0,0
3,0,Unknown,0,0,0,-1.0,-1.0,1173,18,3,17,3,1,0
7,1,India,0,42,1,97.0,0.0,812,17,0,15,1,0,0
4,0,Unknown,0,13,0,10.0,0.0,942,13,3,10,6,0,0
4,1,Unknown,0,0,0,-1.0,-1.0,1068,17,3,12,6,0,0
4,0,IN,2,0,0,-1.0,-1.0,1218,14,0,14,0,0,2
19,1,FR,0,42,0,1.0,0.0,866,20,1,21,6,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,948,16,4,11,3,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1002,14,6,13,5,0,0
1,1,Unknown,2,42,0,-1.0,-1.0,989,17,5,22,4,0,2
18,0,Unknown,0,42,0,-1.0,-1.0,1060,1,4,7,6,0,0
2,0,GB,0,4,0,83.0,0.0,821,15,5,2,1,0,0
19,1,Unknown,0,42,0,0.0,0.0,811,19,0,1,5,1,0
2,1,IN,0,4,0,14.0,17.0,835,12,5,15,6,0,0
19,0,Unknown,0,22,0,1.0,0.0,1118,10,2,21,0,0,0
11,0,Unknown,0,32,0,-1.0,-1.0,819,15,0,15,2,0,0
17,0,Unknown,0,19,0,-1.0,0.0,1169,21,6,11,6,0,0
2,1,IN,0,22,0,7.0,0.0,1114,20,5,20,4,0,0
18,0,Unknown,0,10,0,-1.0,-1.0,1055,16,2,16,6,0,0
15,0,Unknown,2,0,0,-1.0,-1.0,1055,12,2,14,5,0,2
18,1,Unknown,0,6,0,-1.0,-1.0,1152,13,3,9,3,0,0
16,1,Unknown,0,10,0,-1.0,-1.0,1329,14,1,13,5,0,0
7,1,IN,0,42,0,12.0,0.0,812,17,0,9,1,0,0
18,0,Unknown,0,0,0,-1.0,-1.0,1167,12,2,9,2,0,0
2,1,IN,0,2,0,179.0,16.0,1002,19,5,17,3,1,0
18,0,Unknown,0,6,0,-1.0,-1.0,1066,18,5,18,2,0,0
20,1,India,0,42,1,6.0,16.0,812,16,0,17,0,1,0
19,1,Unknown,0,42,0,0.0,0.0,838,14,2,14,1,0,0
4,0,Unknown,0,0,0,1.0,13.0,1330,15,0,13,0,0,0
6,0,Unknown,0,19,0,0.0,0.0,797,16,1,17,1,0,0
17,0,Unknown,0,10,0,2.0,0.0,1048,13,2,17,6,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,1186,0,4,17,0,0,0
15,0,Unknown,0,6,0,-1.0,-1.0,1043,14,0,10,2,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,1126,6,1,0,0,0,0
2,0,IN,0,42,0,5.0,0.0,1065,17,6,14,4,0,0
20,0,India,0,42,1,-1.0,-1.0,856,19,4,11,3,1,0
15,0,Unknown,2,0,0,-1.0,-1.0,1061,19,2,22,2,0,2
3,0,Unknown,0,13,0,-1.0,-1.0,1173,18,3,9,1,0,0
18,1,Unknown,0,10,0,-1.0,-1.0,1264,13,3,18,2,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1226,12,6,9,5,1,0
4,0,Unknown,0,10,0,15.0,0.0,1253,17,0,16,1,0,0
18,1,Unknown,0,6,0,12.0,10.0,1013,19,1,10,4,0,0
4,1,Unknown,0,13,0,-1.0,-1.0,1174,13,2,20,4,0,0
19,1,Unknown,0,42,0,3.0,0.0,1109,14,4,20,6,0,0
2,1,IN,0,4,0,5.0,0.0,1080,14,5,0,2,0,0
1,1,Unknown,2,42,0,-1.0,-1.0,1040,13,3,13,3,0,2
20,0,GB,0,42,0,-1.0,-1.0,808,17,4,18,6,0,0
19,0,Unknown,0,42,0,-1.0,-1.0,1002,11,6,20,5,1,0
18,0,Unknown,0,42,0,-1.0,-1.0,898,18,5,15,4,0,0
15,0,Unknown,0,22,0,-1.0,-1.0,1043,14,0,10,5,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,1165,6,4,8,3,0,0
4,0,Unknown,0,19,0,-1.0,-1.0,943,10,2,7,4,0,0
2,1,IN,0,22,0,12.0,14.0,1124,14,3,9,0,0,0
10,1,Unknown,2,0,0,21.0,0.0,812,17,0,18,2,0,2
4,1,Unknown,0,16,0,8.0,0.0,1126,12,1,0,6,0,0
14,1,IN,0,13,0,193.0,0.0,1002,20,5,12,4,0,0
4,0,Unknown,0,22,0,15.0,0.0,947,19,4,19,2,0,0
2,1,IN,0,4,0,29.0,0.0,819,10,0,22,6,0,0
4,0,Unknown,0,19,0,4.0,0.0,1048,11,2,17,5,0,0
18,1,Unknown,0,13,0,3.0,14.0,894,17,2,22,2,0,0
18,1,Unknown,0,42,0,5.0,10.0,893,19,2,10,1,0,0
21,0,IN,0,22,0,-1.0,-1.0,901,20,1,14,5,0,0
20,0,India,0,42,1,-1.0,-1.0,823,18,2,20,1,1,0
4,0,Unknown,0,0,0,184.0,0.0,1083,12,2,15,1,0,0
20,0,India,0,42,1,-1.0,-1.0,886,13,3,14,2,0,0
14,0,Unknown,0,6,0,-1.0,-1.0,1043,14,0,17,5,0,0
18,0,Unknown,0,13,0,-1.0,-1.0,1047,17,3,15,1,0,0
4,0,Unknown,0,4,0,-1.0,-1.0,1116,22,3,23,1,0,0
4,0,Unknown,0,19,0,-1.0,-1.0,1039,15,4,3,3,0,0
1,1,Unknown,0,39,0,-1.0,-1.0,1263,19,3,11,3,1,0
2,0,Unknown,0,19,0,-1.0,-1.0,1191,20,5,12,4,0,0
4,1,Unknown,0,22,0,19.0,0.0,1157,12,5,0,4,0,0
12,1,Unknown,0,42,0,-1.0,-1.0,1165,5,4,0,3,0,0
20,1,Unknown,0,42,0,2.0,21.0,948,14,4,11,3,1,0
17,0,Unknown,0,19,0,-1.0,-1.0,937,16,1,21,2,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,840,13,0,21,6,0,0
15,0,Unknown,2,13,0,-1.0,-1.0,1032,18,4,21,2,0,2
18,1,Unknown,0,6,0,-1.0,-1.0,958,14,1,13,4,0,0
17,1,Unknown,0,19,0,19.0,0.0,1112,18,1,20,2,0,0
7,0,Unknown,0,38,0,420.0,0.0,812,17,0,21,0,0,0
18,0,Unknown,0,0,0,-1.0,-1.0,1188,15,2,15,1,0,0
4,0,Unknown,0,0,0,-1.0,-1.0,1265,14,2,23,1,0,0
20,1,Ethiopia,0,42,0,-1.0,-1.0,812,17,0,12,5,0,0
15,0,Unknown,0,13,0,-1.0,-1.0,1050,10,0,22,2,0,0
12,1,Unknown,0,42,0,-1.0,-1.0,1262,21,4,21,4,1,0
1,1,Unknown,2,42,0,-1.0,-1.0,831,11,2,11,2,1,2
4,0,Unknown,0,13,0,9.0,0.0,956,14,3,16,0,0,0
17,0,Unknown,0,19,0,-1.0,-1.0,1130,18,4,20,3,0,0
19,1,Unknown,0,42,0,0.0,0.0,832,16,1,1,0,0,0
2,1,IN,0,22,0,38.0,0.0,1148,13,0,0,0,0,0
2,1,IN,0,13,0,-1.0,-1.0,1159,13,3,10,3,0,0
18,1,Unknown,0,42,0,3.0,18.0,891,17,5,16,4,0,0
4,1,Unknown,0,19,0,14.0,0.0,942,18,3,21,2,1,0
2,1,India,2,0,1,-1.0,-1.0,1329,17,1,17,1,0,2
9,0,IN,0,10,0,-1.0,-1.0,872,13,3,21,1,0,0
19,1,Unknown,0,42,0,2.0,0.0,1030,13,6,11,4,0,0
18,1,Unknown,0,6,0,1.0,19.0,1012,11,3,3,2,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,897,19,5,21,4,0,0
19,1,Unknown,0,42,0,0.0,0.0,890,12,6,14,5,0,0
20,0,IN,0,4,0,62.0,13.0,1060,17,4,10,6,0,0
17,0,Unknown,0,22,0,0.0,0.0,979,13,1,14,0,0,0
5,0,india,0,42,1,-1.0,-1.0,953,12,6,15,3,0,0
19,0,Unknown,0,42,0,-1.0,-1.0,1048,15,2,11,1,0,0
15,0,Unknown,0,6,0,-1.0,-1.0,1066,13,5,11,1,0,0
2,1,India,2,13,1,-1.0,-1.0,1226,15,6,19,0,0,2
18,0,Unknown,0,6,0,-1.0,-1.0,1024,13,5,9,3,0,0
14,1,Unknown,0,13,0,98.0,19.0,998,10,3,11,3,0,0
4,1,Unknown,0,19,0,7.0,0.0,928,13,3,8,2,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,1120,23,6,19,6,0,0
2,1,IN,0,19,0,69.0,11.0,913,11,4,18,4,0,0
1,1,Unknown,2,42,0,-1.0,-1.0,1250,18,3,18,3,0,2
4,0,Unknown,0,19,0,-1.0,-1.0,941,13,4,14,4,0,0
4,0,Unknown,0,21,0,4.0,0.0,1068,18,3,14,6,0,0
4,0,Unknown,0,13,0,8.0,0.0,1038,12,5,23,3,0,0
15,0,Unknown,0,13,0,-1.0,-1.0,1070,13,1,23,3,0,0
12,1,Unknown,0,42,0,-1.0,-1.0,1177,5,6,22,5,0,0
19,0,Unknown,0,42,0,3.0,0.0,1114,18,6,20,2,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,969,23,3,22,1,0,0
15,0,Unknown,0,6,0,-1.0,-1.0,1043,14,0,6,4,0,0
2,1,IN,0,13,0,45.0,0.0,998,9,3,23,6,0,0
17,1,Unknown,0,13,0,-1.0,-1.0,1110,16,3,22,2,0,0
4,0,Unknown,0,19,0,3.0,0.0,1139,16,2,23,1,0,0
4,0,Unknown,0,4,0,-1.0,-1.0,1158,23,3,13,2,0,0
16,0,India,1,42,1,-1.0,-1.0,1337,11,0,19,5,0,1
18,0,Unknown,0,42,0,-1.0,-1.0,1185,1,5,18,0,0,0
16,0,Unknown,2,0,0,-1.0,-1.0,1312,14,4,14,4,0,2
18,0,Unknown,0,42,0,-1.0,-1.0,959,4,0,6,6,0,0
17,1,Unknown,0,19,0,-1.0,-1.0,859,16,2,21,2,0,0
18,0,Unknown,0,13,0,-1.0,-1.0,1150,13,5,16,4,0,0
4,0,Unknown,0,13,0,11.0,0.0,992,16,2,10,4,0,0
20,0,Unknown,0,42,0,-1.0,-1.0,971,15,2,15,3,0,0
21,1,IN,0,13,0,-1.0,-1.0,989,17,5,20,0,0,0
5,0,india,0,42,1,0.0,0.0,965,14,1,16,2,0,0
10,1,Unknown,0,42,0,-1.0,-1.0,812,17,0,18,5,0,0
19,1,Unknown,0,22,0,-1.0,-1.0,1094,14,5,19,6,0,0
4,1,Unknown,0,13,0,7.0,0.0,1006,17,2,23,4,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,945,19,6,14,6,1,0
18,0,Unknown,0,42,0,-1.0,-1.0,859,12,2,11,0,0,0
6,0,Unknown,0,19,0,-1.0,0.0,797,16,1,10,0,0,0
19,0,Unknown,0,0,0,-1.0,-1.0,1221,13,4,13,1,0,0
15,0,Unknown,0,10,0,-1.0,-1.0,1064,19,6,17,1,0,0
2,0,Unknown,0,22,0,-1.0,-1.0,1187,0,3,16,2,0,0
4,1,Unknown,0,22,0,7.0,0.0,924,13,0,23,6,0,0
1,1,Unknown,0,42,0,-1.0,0.0,1077,19,0,18,0,0,0
19,1,Unknown,0,42,0,3.0,0.0,1151,14,4,18,0,0,0
21,1,IN,0,42,0,1.0,0.0,1081,11,4,11,0,0,0
17,0,Unknown,0,13,0,8.0,0.0,1079,16,6,21,4,0,0
19,0,Unknown,0,42,0,2.0,0.0,934,15,4,17,5,0,0
4,0,Unknown,0,13,0,-1.0,-1.0,1118,12,2,8,0,0,0
21,0,IN,0,42,0,12.0,0.0,1081,11,4,15,1,0,0
19,0,Unknown,0,22,0,0.0,0.0,1109,12,4,6,5,0,0
19,1,Unknown,0,42,0,1.0,0.0,888,16,1,17,5,0,0
3,0,Unknown,0,19,0,-1.0,-1.0,1173,18,3,7,5,0,0
4,1,Unknown,0,19,0,5.0,11.0,1092,10,0,11,0,0,0
4,0,Unknown,0,19,0,-1.0,-1.0,1075,11,3,1,3,1,0
4,0,IN,0,4,0,6.0,0.0,833,14,0,9,1,0,0
12,1,Unknown,0,42,0,-1.0,0.0,1009,3,6,23,4,0,0
20,1,Unknown,0,42,0,-1.0,-1.0,976,14,4,21,1,0,0
3,0,Unknown,0,19,0,-1.0,-1.0,1173,18,3,17,0,1,0
15,0,Unknown,0,13,0,-1.0,-1.0,1043,12,0,21,0,0,0
18,0,IN,0,42,0,-1.0,-1.0,809,14,3,11,2,0,0
4,0,Unknown,0,19,0,21.0,0.0,914,13,3,9,2,0,0
9,1,Unknown,0,19,0,175.0,0.0,875,18,6,18,5,0,0
21,0,RO,0,4,0,-1.0,-1.0,884,19,4,2,0,0,0
