Lead Owner,Interest Level,Lead Location(Auto),Creation Source,Marketing Source,is_india_location,days_since_next_activity,next_activity_hour,Days_Since_Update,Update_Hour,Update_DayOfWeek,hour_of_day,day_of_week,is_student,creation_source_encoded
2,1,US,0,0,0,-1.0,-1.0,1107,20,5,3,4,0,0
21,0,IN,0,6,0,-1.0,-1.0,977,9,3,23,1,0,0
19,1,AE,0,42,0,9.0,0.0,892,12,4,13,1,0,0
16,1,India,2,0,1,-1.0,-1.0,1250,20,2,19,2,0,2
2,1,IN,0,42,0,-1.0,-1.0,1100,13,6,21,3,0,0
21,0,Unknown,0,19,0,15.0,0.0,1081,11,4,11,6,0,0
20,1,India,0,42,1,-1.0,-1.0,809,18,3,14,4,0,0
7,0,Unknown,0,42,0,327.0,0.0,812,17,0,20,1,0,0
18,0,Unknown,0,13,0,-1.0,-1.0,1056,16,1,11,2,0,0
21,1,IN,0,13,0,-1.0,-1.0,1027,14,2,16,4,0,0
1,0,Unknown,0,42,0,-1.0,-1.0,1175,6,1,14,0,0,0
18,1,Unknown,2,0,0,-1.0,-1.0,1254,17,6,16,5,0,2
2,1,IN,0,19,0,-1.0,-1.0,1107,11,6,22,0,0,0
19,0,Unknown,0,10,0,0.0,0.0,1127,11,0,1,6,0,0
19,0,Unknown,0,42,0,-1.0,-1.0,1191,11,6,14,3,0,0
4,0,Unknown,0,22,0,29.0,0.0,1030,17,6,0,6,0,0
19,0,Unknown,0,42,0,-1.0,-1.0,1024,11,5,9,1,0,0
19,1,Unknown,0,42,0,-1.0,-1.0,821,12,5,17,4,0,0
18,0,Unknown,2,0,0,-1.0,-1.0,1259,19,0,19,0,0,2
4,0,Unknown,0,10,0,-1.0,-1.0,1230,22,1,22,3,0,0
16,0,India,1,0,1,-1.0,-1.0,1207,9,4,12,4,0,1
1,1,Unknown,0,42,0,-1.0,-1.0,1160,13,2,12,2,0,0
19,1,Unknown,0,42,0,51.0,0.0,1001,9,0,15,3,0,0
9,1,Unknown,0,13,0,51.0,12.0,878,18,4,1,4,0,0
2,1,IN,0,6,0,-1.0,-1.0,857,15,4,17,5,0,0
0,1,Unknown,0,42,0,-1.0,0.0,878,0,4,1,4,0,0
14,0,IN,0,13,0,39.0,0.0,1043,15,0,15,5,0,0
2,1,IN,0,22,0,96.0,20.0,969,20,3,22,4,0,0
2,0,India,2,9,1,-1.0,-1.0,1324,13,6,13,6,0,2
21,1,in,0,42,0,-1.0,-1.0,1081,11,4,17,6,0,0
2,1,IN,0,19,0,-1.0,-1.0,949,9,3,7,4,0,0
15,1,Unknown,0,30,0,-1.0,-1.0,1066,12,5,18,1,0,0
2,1,BB,0,22,0,-1.0,-1.0,1152,19,2,23,0,0,0
4,1,Unknown,0,19,0,28.0,0.0,1218,15,0,10,6,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,876,16,6,1,6,0,0
4,0,Unknown,0,0,0,-1.0,-1.0,1188,14,2,13,1,0,0
19,1,Unknown,0,42,0,-1.0,0.0,967,15,6,14,6,0,0
16,0,Unknown,2,0,0,-1.0,-1.0,1317,18,6,12,6,0,2
12,0,Unknown,0,42,0,1.0,0.0,892,1,4,21,2,1,0
2,0,IN,0,22,0,51.0,0.0,854,13,0,22,0,0,0
13,0,Unknown,0,42,0,-1.0,-1.0,824,14,2,2,1,1,0
19,1,Unknown,0,42,0,4.0,0.0,1055,15,2,9,0,0,0
16,0,Unknown,2,0,0,-1.0,-1.0,1309,18,0,18,0,0,2
21,0,in,0,13,0,34.0,0.0,1081,11,4,23,0,0,0
7,1,Unknown,0,42,0,71.0,0.0,812,17,0,13,0,0,0
19,0,Unknown,0,42,0,-1.0,-1.0,1011,14,4,20,3,0,0
17,0,Unknown,0,13,0,-1.0,-1.0,957,15,2,21,0,0,0
7,1,Unknown,0,19,0,383.0,0.0,812,17,0,12,2,0,0
13,1,Unknown,0,22,0,-1.0,-1.0,893,17,3,7,0,0,0
20,1,UAE,0,42,0,-1.0,-1.0,828,13,5,17,0,0,0
18,1,Unknown,0,6,0,-1.0,-1.0,1118,12,2,10,5,1,0
14,0,Unknown,0,22,0,136.0,0.0,1024,9,5,8,1,0,0
2,1,IN,0,19,0,-1.0,-1.0,846,15,1,9,2,0,0
12,1,Unknown,0,42,0,-1.0,0.0,1202,19,1,2,0,0,0
2,1,IN,0,19,0,125.0,0.0,846,15,1,21,5,0,0
17,1,Unknown,0,19,0,2.0,18.0,1011,9,4,17,2,0,0
2,1,IN,0,13,0,-1.0,-1.0,1100,13,6,21,0,0,0
14,0,Unknown,0,6,0,74.0,0.0,1024,9,5,10,0,0,0
4,0,Unknown,0,13,0,-1.0,-1.0,1102,12,4,9,0,0,0
16,0,Unknown,0,10,0,-1.0,-1.0,1291,4,4,13,3,0,0
20,0,Unknown,0,42,0,-1.0,-1.0,913,20,3,12,4,0,0
19,0,Unknown,0,0,0,0.0,0.0,1205,13,6,22,6,0,0
2,1,IN,0,4,0,-1.0,-1.0,832,20,0,19,6,0,0
19,1,IN,0,42,0,0.0,0.0,846,13,1,16,6,0,0
19,0,Unknown,0,42,0,0.0,0.0,875,12,0,17,6,0,0
